Flooring,ViewYN,PoolPrivateYN,ListingKey,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,DaysOnMarket,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,Dataset
221.0,0,0,1136722098,2025-11-03,612500.0,34.193227,-118.47004,1162.0,15,1136722098,933.0,18.0,0,2.0,1953.0,1.0,834.0,3.0,1.0,1,1.0,2.0,3.0,0,2.0,189.0,232.0,0.0,5002.0,Train
221.0,0,0,1135546571,2025-11-03,1735000.0,33.684673,-117.929625,1610.0,14,1135546571,437.0,29.0,1,2.0,1958.0,2.0,178.0,4.0,1.0,1,1.0,2.0,3.0,0,2.0,233.0,543.0,0.0,7000.0,Train
131.0,1,0,1134750698,2025-11-03,749000.0,33.749091,-117.881586,1008.0,5,1134750698,277.0,29.0,0,8.0,1912.0,1.0,718.0,3.0,1.0,0,1.0,2.0,3.0,0,0.0,320.0,575.0,0.0,6626.0,Train
131.0,1,0,1135534745,2025-11-03,804900.0,34.39796,-118.483214,2125.0,11,1135534745,731.0,18.0,1,2.0,2014.0,3.0,529.0,4.0,1.0,0,2.0,12.0,0.0,0,2.0,387.0,201.0,193.0,57499.2,Train
193.0,0,0,1135527815,2025-11-03,762000.0,33.495222,-117.084249,2574.0,5,1135527815,860.0,34.0,1,2.0,2001.0,3.0,795.0,4.0,1.0,1,2.0,12.0,0.0,0,2.0,353.0,528.0,130.0,6098.0,Train
220.0,1,0,1135523756,2025-11-03,1198345.0,34.063604,-118.277556,1642.0,16,1135523756,464.0,18.0,0,2.0,1935.0,3.0,443.0,3.0,1.0,1,2.0,12.0,0.0,0,2.0,364.0,51.0,0.0,6492.0,Train
221.0,0,0,1135175261,2025-11-03,1315000.0,33.819448,-118.027265,2070.0,12,1135175261,286.0,29.0,1,2.0,1965.0,3.0,191.0,4.0,1.0,1,2.0,12.0,0.0,0,2.0,11.0,123.0,0.0,6180.0,Train
131.0,1,0,1136889008,2025-11-03,1025500.0,32.93003,-117.148725,1404.0,11,1136889008,386.0,38.0,1,2.0,1972.0,2.0,694.0,4.0,1.0,1,1.0,2.0,4.0,0,2.0,302.0,384.0,0.0,5200.0,Train
221.0,0,0,1112008206,2025-11-03,840000.0,33.910471,-118.158052,1658.0,35,1112008206,811.0,18.0,1,2.0,1987.0,3.0,591.0,4.0,1.0,1,2.0,12.0,0.0,0,2.0,263.0,142.0,0.0,3464.0,Train
221.0,1,0,1134748678,2025-11-03,1247500.0,32.78719003,-116.89822329,4332.0,23,1134748678,329.0,38.0,1,9.0,1991.0,4.0,229.0,4.0,1.0,1,2.0,12.0,0.0,0,3.0,364.0,327.0,0.0,61419.0,Train
86.0,0,0,1134739226,2025-11-03,700000.0,36.85176939,-121.41649192,2114.0,13,1134739226,275.0,36.0,1,2.0,2020.0,3.0,329.0,4.0,1.0,0,1.0,18.0,0.0,0,2.0,253.0,1261.0,0.0,3792.0,Train
224.0,1,0,1134739150,2025-11-03,4307500.0,34.100121,-118.381256,3002.0,23,1134739150,431.0,18.0,0,2.0,1949.0,5.0,443.0,4.0,1.0,1,1.0,2.0,0.0,0,2.0,364.0,62.0,0.0,10434.0,Train
